combined_text,sentiment,overall,verified,vote,style_Size,style_Color,textLen,wordCount,is_outlier,clean_vader,clean_swn,vader_score,vader_pred,swn_score,swn_prediction
Exactly what I wanted Love! Great price too.,Positive,5.0,True,,9.5 D Wide,Cool Grey / Volt - Wolf Grey - Pure Platinum,44,8,False,Exactly what I wanted Love! Great price too.,"['exactly', 'wanted', 'love', 'great', 'price']",0.8622,Positive,1.0,Positive
"but if I wear thick socks they are fine. Also Arrived on time. I probably should have gone with a 7.5 instead of an 8 because they do seem a little big, but if I wear thick socks they are fine. Also, they can sometimes make a very annoying squeaky noise when I run on certain surfaces so I'm trying to get them worn in. Over-all, I am satisfied with my purchase!",Positive,4.0,True,,8 B(M) US,Black/White/Anthracite/Stealth,362,72,False,"but if I wear thick socks they are fine. Also Arrived on time. I probably should have gone with a 7.5 instead of an 8 because they do seem a little big, but if I wear thick socks they are fine. Also, they can sometimes make a very annoying squeaky noise when I run on certain surfaces so I'm trying to get them worn in. Over-all, I am satisfied with my purchase!","['wear', 'thick', 'sock', 'fine', 'also', 'arrived', 'time', 'probably', 'gone', '75', 'instead', '8', 'seem', 'little', 'big', 'wear', 'thick', 'sock', 'fine', 'also', 'sometimes', 'make', 'annoying', 'squeaky', 'noise', 'run', 'certain', 'surface', 'im', 'trying', 'get', 'worn', 'overall', 'satisfied', 'purchase']",0.5027,Positive,-1.125,Negative
I love these shoes I love these shoes.  They fit as expected and they look really nice on.  These shoes have a narrow base which I really like.  I don't like the ones that make your foot look wide.,Positive,5.0,True,,8 B(M) US,Black/White/Anthracite/Stealth,197,39,False,I love these shoes I love these shoes. They fit as expected and they look really nice on. These shoes have a narrow base which I really like. I don't like the ones that make your foot look wide.,"['love', 'shoe', 'love', 'shoe', 'fit', 'expected', 'look', 'really', 'nice', 'shoe', 'narrow', 'base', 'really', 'like', 'dont', 'like', 'one', 'make', 'foot', 'look', 'wide']",0.9401,Positive,2.25,Positive
Five Stars Very comfy for wearing at home.,Positive,5.0,True,,,,42,8,False,Five Stars Very comfy for wearing at home.,"['five', 'star', 'comfy', 'wearing', 'home']",0.0,Neutral,-0.25,Negative
Love These Shoes! I have gotten so many compliments on the blue color and look of this shoe.  It is super comfortable.  The grip is wonderful for my indoor gym cross training classes.  I always order a half size larger in Nike brand shoes and thy fit perfectly as I did with this shoe.,Positive,5.0,True,8.0,8 B(M) US,Racer Blue/Obsidian/Blue Tint,285,54,False,Love These Shoes! I have gotten so many compliments on the blue color and look of this shoe. It is super comfortable. The grip is wonderful for my indoor gym cross training classes. I always order a half size larger in Nike brand shoes and thy fit perfectly as I did with this shoe.,"['love', 'shoe', 'gotten', 'many', 'compliment', 'blue', 'color', 'look', 'shoe', 'super', 'comfortable', 'grip', 'wonderful', 'indoor', 'gym', 'cross', 'training', 'class', 'always', 'order', 'half', 'size', 'larger', 'nike', 'brand', 'shoe', 'thy', 'fit', 'perfectly', 'shoe']",0.9778,Positive,1.375,Positive
"They fit as expected and perfect for training They fit as expected and perfect for training, the shoelaces are a little bit too long. Other than that these shoes are as I expected them !",Positive,4.0,True,,8 B(M) US,Black/White/Anthracite/Stealth,186,35,False,"They fit as expected and perfect for training They fit as expected and perfect for training, the shoelaces are a little bit too long. Other than that these shoes are as I expected them !","['fit', 'expected', 'perfect', 'training', 'fit', 'expected', 'perfect', 'training', 'shoelace', 'little', 'bit', 'long', 'shoe', 'expected']",0.9134,Positive,-0.375,Negative
Not true to size I returned these as they were not true to size. They ran large.,Negative,2.0,True,,8 B(M) US,Grey,80,17,False,Not true to size I returned these as they were not true to size. They ran large.,"['true', 'size', 'returned', 'true', 'size', 'ran', 'large']",-0.5667,Negative,-0.125,Negative
Five Stars love the lightweight and the fit,Positive,5.0,True,,7 B(M) US,Black/Red Bronze/White,43,8,False,Five Stars love the lightweight and the fit,"['five', 'star', 'love', 'lightweight', 'fit']",0.7717,Positive,0.125,Positive
"but like them so far I bought these sneakers for boot camp class.  They are very light weight and different than other sneakers that I have owned.  Have only used them a few times, but like them so far.",Positive,4.0,True,,8 B(M) US,White/Hyper Pink/Pure Platinum/Wolf Grey,202,39,False,"but like them so far I bought these sneakers for boot camp class. They are very light weight and different than other sneakers that I have owned. Have only used them a few times, but like them so far.","['like', 'far', 'bought', 'sneaker', 'boot', 'camp', 'class', 'light', 'weight', 'different', 'sneaker', 'owned', 'used', 'time', 'like', 'far']",0.7579,Positive,0.125,Positive
Great My son really likes the pink. Ones which I was nervous about,Positive,5.0,True,,Little Boys,Blue/Pink,66,13,False,Great My son really likes the pink. Ones which I was nervous about,"['great', 'son', 'really', 'like', 'pink', 'one', 'nervous']",0.7264,Positive,0.75,Positive
